"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"10k-Ohm1,10k-Ohm2,10k-Ohm3","R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","3","","",""
"1000uF1","CP","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm","~","1","","",""
"D1-Mini1","WeMos_D1_mini","wemos-d1-mini:wemos-d1-mini-connectors-only","https://wiki.wemos.cc/products:d1:d1_mini#documentation","1","","",""
"FC16-Matrix-Display1","ledmatrix_mit_max7219","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm","","1","","",""
"J1","5V Input - Screw_Terminal_01x02","digikey-footprints:Term_Block_1x2_P5.08MM","~","1","","",""
"LED1","WS2812B_LED_connector","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","","1","","",""
"Photoresistor1","R_PHOTO","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~","1","","",""
"SW1,SW2","SPST","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","2","","",""
"U1","TinyRTC-I2C","rtc:tinyRTC I2C","","1","","",""
